model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
GRU,1,128,64,50,0.5,rmsprop,1,0.3697
GRU,1,128,64,50,0.5,rmsprop,2,0.3841
GRU,1,128,64,50,0.5,rmsprop,3,0.3789
GRU,60,32,32,10,0.0,adam,1,0.3507
GRU,60,32,32,10,0.0,adam,2,0.3435
GRU,60,32,32,10,0.0,adam,3,0.3589
GRU,60,32,32,10,0.0,rmsprop,1,0.3872
GRU,60,32,32,10,0.0,rmsprop,2,0.3822
GRU,60,32,32,10,0.0,rmsprop,3,0.3842
GRU,60,32,32,10,0.25,adam,1,0.3501
GRU,60,32,32,10,0.25,adam,2,0.3456
GRU,60,32,32,10,0.25,adam,3,0.3432
GRU,60,32,32,10,0.25,rmsprop,1,0.3876
GRU,60,32,32,10,0.25,rmsprop,2,0.396
GRU,60,32,32,10,0.25,rmsprop,3,0.4093
GRU,60,32,32,10,0.5,adam,1,0.3621
GRU,60,32,32,10,0.5,adam,2,0.3665
GRU,60,32,32,10,0.5,adam,3,0.3698
GRU,60,32,32,10,0.5,rmsprop,1,0.3877
GRU,60,32,32,10,0.5,rmsprop,2,0.38
GRU,60,32,32,10,0.5,rmsprop,3,0.3726
GRU,60,32,32,30,0.0,adam,1,0.3438
GRU,60,32,32,30,0.0,adam,2,0.3385
GRU,60,32,32,30,0.0,adam,3,0.3369
GRU,60,32,32,30,0.0,rmsprop,1,0.3566
GRU,60,32,32,30,0.0,rmsprop,2,0.3671
GRU,60,32,32,30,0.0,rmsprop,3,0.3754
GRU,60,32,32,30,0.25,adam,1,0.3426
GRU,60,32,32,30,0.25,adam,2,0.3319
GRU,60,32,32,30,0.25,adam,3,0.3504
GRU,60,32,32,30,0.25,rmsprop,1,0.3635
GRU,60,32,32,30,0.25,rmsprop,2,0.3734
GRU,60,32,32,30,0.25,rmsprop,3,0.3702
GRU,60,32,32,30,0.5,adam,1,0.3654
GRU,60,32,32,30,0.5,adam,2,0.3487
GRU,60,32,32,30,0.5,adam,3,0.3378
GRU,60,32,32,30,0.5,rmsprop,1,0.381
GRU,60,32,32,30,0.5,rmsprop,2,0.3799
GRU,60,32,32,30,0.5,rmsprop,3,0.3415
GRU,60,32,32,50,0.0,adam,1,0.3517
GRU,60,32,32,50,0.0,adam,2,0.3488
GRU,60,32,32,50,0.0,adam,3,0.3434
GRU,60,32,32,50,0.0,rmsprop,1,0.3699
GRU,60,32,32,50,0.0,rmsprop,2,0.3451
GRU,60,32,32,50,0.0,rmsprop,3,0.3681
GRU,60,32,32,50,0.25,adam,1,0.3533
GRU,60,32,32,50,0.25,adam,2,0.3389
GRU,60,32,32,50,0.25,adam,3,0.3463
GRU,60,32,32,50,0.25,rmsprop,1,0.3762
GRU,60,32,32,50,0.25,rmsprop,2,0.3725
GRU,60,32,32,50,0.25,rmsprop,3,0.3761
GRU,60,32,32,50,0.5,adam,1,0.3492
GRU,60,32,32,50,0.5,adam,2,0.3466
GRU,60,32,32,50,0.5,adam,3,0.338
GRU,60,32,32,50,0.5,rmsprop,1,0.3583
GRU,60,32,32,50,0.5,rmsprop,2,0.3704
GRU,60,32,32,50,0.5,rmsprop,3,0.3798
GRU,60,32,64,10,0.0,adam,1,0.3465
GRU,60,32,64,10,0.0,adam,2,0.3499
GRU,60,32,64,10,0.0,adam,3,0.346
GRU,60,32,64,10,0.0,rmsprop,1,0.3737
GRU,60,32,64,10,0.0,rmsprop,2,0.3606
GRU,60,32,64,10,0.0,rmsprop,3,0.3834
GRU,60,32,64,10,0.25,adam,1,0.3606
GRU,60,32,64,10,0.25,adam,2,0.3534
GRU,60,32,64,10,0.25,adam,3,0.3592
GRU,60,32,64,10,0.25,rmsprop,1,0.3727
GRU,60,32,64,10,0.25,rmsprop,2,0.3936
GRU,60,32,64,10,0.25,rmsprop,3,0.3886
GRU,60,32,64,10,0.5,adam,1,0.3778
GRU,60,32,64,10,0.5,adam,2,0.3682
GRU,60,32,64,10,0.5,adam,3,0.3542
GRU,60,32,64,10,0.5,rmsprop,1,0.375
GRU,60,32,64,10,0.5,rmsprop,2,0.4058
GRU,60,32,64,10,0.5,rmsprop,3,0.4205
GRU,60,32,64,30,0.0,adam,1,0.3438
GRU,60,32,64,30,0.0,adam,2,0.3416
GRU,60,32,64,30,0.0,adam,3,0.3416
GRU,60,32,64,30,0.0,rmsprop,1,0.3869
GRU,60,32,64,30,0.0,rmsprop,2,0.3728
GRU,60,32,64,30,0.0,rmsprop,3,0.3946
GRU,60,32,64,30,0.25,adam,1,0.3551
GRU,60,32,64,30,0.25,adam,2,0.3529
GRU,60,32,64,30,0.25,adam,3,0.341
GRU,60,32,64,30,0.25,rmsprop,1,0.376
GRU,60,32,64,30,0.25,rmsprop,2,0.38
GRU,60,32,64,30,0.25,rmsprop,3,0.3709
GRU,60,32,64,30,0.5,adam,1,0.3656
GRU,60,32,64,30,0.5,adam,2,0.346
GRU,60,32,64,30,0.5,adam,3,0.3483
GRU,60,32,64,30,0.5,rmsprop,1,0.3883
GRU,60,32,64,30,0.5,rmsprop,2,0.373
GRU,60,32,64,30,0.5,rmsprop,3,0.3814
GRU,60,32,64,50,0.0,adam,1,0.3472
GRU,60,32,64,50,0.0,adam,2,0.3374
GRU,60,32,64,50,0.0,adam,3,0.3373
GRU,60,32,64,50,0.0,rmsprop,1,0.3654
GRU,60,32,64,50,0.0,rmsprop,2,0.376
GRU,60,32,64,50,0.0,rmsprop,3,0.3862
GRU,60,32,64,50,0.25,adam,1,0.351
GRU,60,32,64,50,0.25,adam,2,0.3409
GRU,60,32,64,50,0.25,adam,3,0.3409
GRU,60,32,64,50,0.25,rmsprop,1,0.3791
GRU,60,32,64,50,0.25,rmsprop,2,0.386
GRU,60,32,64,50,0.25,rmsprop,3,0.371
GRU,60,32,64,50,0.5,adam,1,0.3529
GRU,60,32,64,50,0.5,adam,2,0.3484
GRU,60,32,64,50,0.5,adam,3,0.3552
GRU,60,32,64,50,0.5,rmsprop,1,0.3811
GRU,60,32,64,50,0.5,rmsprop,2,0.3815
GRU,60,32,64,50,0.5,rmsprop,3,0.3936
GRU,60,64,32,10,0.0,adam,1,0.3406
GRU,60,64,32,10,0.0,adam,2,0.3399
GRU,60,64,32,10,0.0,adam,3,0.3591
GRU,60,64,32,10,0.0,rmsprop,1,0.3687
GRU,60,64,32,10,0.0,rmsprop,2,0.3646
GRU,60,64,32,10,0.0,rmsprop,3,0.3694
GRU,60,64,32,10,0.25,adam,1,0.3474
GRU,60,64,32,10,0.25,adam,2,0.3795
GRU,60,64,32,10,0.25,adam,3,0.3444
GRU,60,64,32,10,0.25,rmsprop,1,0.3794
GRU,60,64,32,10,0.25,rmsprop,2,0.3762
GRU,60,64,32,10,0.25,rmsprop,3,0.3811
GRU,60,64,32,10,0.5,adam,1,0.346
GRU,60,64,32,10,0.5,adam,2,0.3569
GRU,60,64,32,10,0.5,adam,3,0.3539
GRU,60,64,32,10,0.5,rmsprop,1,0.3877
GRU,60,64,32,10,0.5,rmsprop,2,0.3716
GRU,60,64,32,10,0.5,rmsprop,3,0.3678
GRU,60,64,32,30,0.0,adam,1,0.3444
GRU,60,64,32,30,0.0,adam,2,0.3433
GRU,60,64,32,30,0.0,adam,3,0.3532
GRU,60,64,32,30,0.0,rmsprop,1,0.3668
GRU,60,64,32,30,0.0,rmsprop,2,0.3472
GRU,60,64,32,30,0.0,rmsprop,3,0.3701
GRU,60,64,32,30,0.25,adam,1,0.352
GRU,60,64,32,30,0.25,adam,2,0.3354
