model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
LSTM,1,128,64,30,0.0,rmsprop,3,0.3733809292316437
LSTM,1,128,64,30,0.25,adam,1,0.3790121972560882
LSTM,1,128,64,30,0.25,adam,2,0.3696296811103821
LSTM,1,128,64,30,0.25,adam,3,0.3688973188400268
LSTM,1,128,64,30,0.25,rmsprop,1,0.3790943026542663
LSTM,1,128,64,30,0.25,rmsprop,2,0.3783075213432312
LSTM,1,128,64,30,0.25,rmsprop,3,0.3695598840713501
LSTM,1,128,64,30,0.5,adam,1,0.3739626407623291
LSTM,1,128,64,30,0.5,adam,2,0.3733243644237518
LSTM,1,128,64,30,0.5,adam,3,0.369608074426651
LSTM,1,128,64,30,0.5,rmsprop,1,0.381024032831192
LSTM,1,128,64,30,0.5,rmsprop,2,0.3814823925495147
LSTM,1,128,64,30,0.5,rmsprop,3,0.3730709850788116
LSTM,1,128,64,50,0.0,adam,1,0.3798108696937561
LSTM,1,128,64,50,0.0,adam,2,0.3780915439128876
LSTM,1,128,64,50,0.0,adam,3,0.3799937069416046
LSTM,1,128,64,50,0.0,rmsprop,1,0.3815835416316986
LSTM,1,128,64,50,0.0,rmsprop,2,0.3805469572544098
LSTM,1,128,64,50,0.0,rmsprop,3,0.3927911520004272
LSTM,1,128,64,50,0.25,adam,1,0.3769442439079284
LSTM,1,128,64,50,0.25,adam,2,0.3735981285572052
LSTM,1,128,64,50,0.25,adam,3,0.3806804120540619
LSTM,1,128,64,50,0.25,rmsprop,1,0.3800439834594726
LSTM,1,128,64,50,0.25,rmsprop,2,0.3797972798347473
LSTM,1,128,64,50,0.25,rmsprop,3,0.376951664686203
LSTM,1,128,64,50,0.5,adam,1,0.3747328817844391
LSTM,1,128,64,50,0.5,adam,2,0.3788719475269317
LSTM,1,128,64,50,0.5,adam,3,0.3723175525665283
LSTM,1,128,64,50,0.5,rmsprop,1,0.3821900486946106
LSTM,1,128,64,50,0.5,rmsprop,2,0.3768119513988495
LSTM,1,128,64,50,0.5,rmsprop,3,0.3815760612487793
LSTM,60,32,32,10,0.0,adam,1,0.3495256602764129
LSTM,60,32,32,10,0.0,adam,2,0.3354357779026031
LSTM,60,32,32,10,0.0,adam,3,0.3328435719013214
LSTM,60,32,32,10,0.0,rmsprop,1,0.364437073469162
LSTM,60,32,32,10,0.0,rmsprop,2,0.3485283851623535
LSTM,60,32,32,10,0.0,rmsprop,3,0.3459262251853943
LSTM,60,32,32,10,0.25,adam,1,0.3749318122863769
LSTM,60,32,32,10,0.25,adam,2,0.3503891825675964
LSTM,60,32,32,10,0.25,adam,3,0.3717250525951385
LSTM,60,32,32,10,0.25,rmsprop,1,0.3794394731521606
LSTM,60,32,32,10,0.25,rmsprop,2,0.3782709240913391
LSTM,60,32,32,10,0.25,rmsprop,3,0.3589391112327575
LSTM,60,32,32,10,0.5,adam,1,0.3701439499855041
LSTM,60,32,32,10,0.5,adam,2,0.3456961512565613
LSTM,60,32,32,10,0.5,adam,3,0.3556742072105407
LSTM,60,32,32,10,0.5,rmsprop,1,0.3646364510059356
LSTM,60,32,32,10,0.5,rmsprop,2,0.3779932558536529
LSTM,60,32,32,10,0.5,rmsprop,3,0.3566861450672149
LSTM,60,32,32,30,0.0,adam,1,0.3431064486503601
LSTM,60,32,32,30,0.0,adam,2,0.3441320061683655
LSTM,60,32,32,30,0.0,adam,3,0.3328588902950287
LSTM,60,32,32,30,0.0,rmsprop,1,0.3421571254730224
LSTM,60,32,32,30,0.0,rmsprop,2,0.3408763408660888
LSTM,60,32,32,30,0.0,rmsprop,3,0.3358372747898102
LSTM,60,32,32,30,0.25,adam,1,0.3437965512275696
LSTM,60,32,32,30,0.25,adam,2,0.3345578014850616
LSTM,60,32,32,30,0.25,adam,3,0.3308894336223602
LSTM,60,32,32,30,0.25,rmsprop,1,0.3529983758926391
LSTM,60,32,32,30,0.25,rmsprop,2,0.3446771204471588
LSTM,60,32,32,30,0.25,rmsprop,3,0.3466494381427765
LSTM,60,32,32,30,0.5,adam,1,0.3581117987632751
LSTM,60,32,32,30,0.5,adam,2,0.3616218268871307
LSTM,60,32,32,30,0.5,adam,3,0.329158753156662
LSTM,60,32,32,30,0.5,rmsprop,1,0.3619953393936157
LSTM,60,32,32,30,0.5,rmsprop,2,0.3455775380134582
LSTM,60,32,32,30,0.5,rmsprop,3,0.3576152622699737
LSTM,60,32,32,50,0.0,adam,1,0.3434657752513885
LSTM,60,32,32,50,0.0,adam,2,0.3309788107872009
LSTM,60,32,32,50,0.0,adam,3,0.3355961441993713
LSTM,60,32,32,50,0.0,rmsprop,1,0.3376120924949646
LSTM,60,32,32,50,0.0,rmsprop,2,0.3396123945713043
LSTM,60,32,32,50,0.0,rmsprop,3,0.3411563336849212
LSTM,60,32,32,50,0.25,adam,1,0.3489480912685394
LSTM,60,32,32,50,0.25,adam,2,0.3384776711463928
LSTM,60,32,32,50,0.25,adam,3,0.3307240307331085
LSTM,60,32,32,50,0.25,rmsprop,1,0.3656151592731476
LSTM,60,32,32,50,0.25,rmsprop,2,0.3404023051261902
LSTM,60,32,32,50,0.25,rmsprop,3,0.342458963394165
LSTM,60,32,32,50,0.5,adam,1,0.349824994802475
LSTM,60,32,32,50,0.5,adam,2,0.3439400494098663
