05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
0,1,0,0,0,0,1,0,0,0,1,1,2,2,2,0,3,0,1,하차,03983,7011060100,LH10단지아파트앞,2019-01-01,14,대구광역시 동구 안심3.4동
2,1,0,1,5,3,8,0,4,2,3,7,0,2,0,0,0,0,0,승차,04043,7011061800,LH14단지아파트,2019-01-01,38,대구광역시 동구 안심3.4동
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,하차,04043,7011061800,LH14단지아파트,2019-01-01,4,대구광역시 동구 안심3.4동
0,0,1,5,5,5,1,1,4,1,2,1,0,0,0,0,1,0,0,승차,03000,7011056100,LH5단지아파트건너,2019-01-01,27,대구광역시 동구 안심3.4동
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,하차,03000,7011056100,LH5단지아파트건너,2019-01-01,4,대구광역시 동구 안심3.4동
0,0,0,0,0,1,1,3,0,0,1,0,1,2,0,1,0,0,0,승차,02992,7011056000,LH5단지아파트앞,2019-01-01,10,대구광역시 동구 안심3.4동
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,하차,02992,7011056000,LH5단지아파트앞,2019-01-01,4,대구광역시 동구 안심3.4동
0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,승차,02973,7011051400,LH5단지아파트후문앞,2019-01-01,3,대구광역시 동구 안심3.4동
0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,2,3,0,하차,02973,7011051400,LH5단지아파트후문앞,2019-01-01,12,대구광역시 동구 안심3.4동
3,5,11,19,10,11,24,11,16,14,15,13,7,12,12,4,8,1,0,승차,09225,7111073200,LH천년나무2단지건너,2019-01-01,196,대구광역시 달성군 유가면
0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,하차,09225,7111073200,LH천년나무2단지건너,2019-01-01,6,대구광역시 달성군 유가면
0,0,0,4,0,0,0,2,0,1,0,2,1,0,0,4,0,1,0,승차,03972,7111073100,LH천년나무2단지앞,2019-01-01,15,대구광역시 달성군 현풍면
0,0,0,0,0,1,1,2,1,1,0,0,1,1,1,2,3,0,0,하차,03972,7111073100,LH천년나무2단지앞,2019-01-01,14,대구광역시 달성군 현풍면
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,하차,03006,7011056700,NH농협혁신도시지점건너,2019-01-01,2,대구광역시 동구 안심3.4동
0,0,2,3,3,2,0,1,3,5,2,0,0,2,4,0,0,4,0,승차,03012,7011056600,NH농협혁신도시지점앞,2019-01-01,31,대구광역시 동구 안심3.4동
