05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일번호,일자,정류소명,정류소번호,합계,행정구역
0,0,0,5,2,4,2,4,2,4,3,7,8,4,6,7,7,3,0,하차,444,2021-01-01,남부경찰서앞,7051013400,68,대구광역시 남구 대명5동
3,2,2,3,1,3,3,6,2,4,5,0,1,3,3,0,1,0,0,승차,583,2021-01-01,남부교육지원청건너,7041016000,42,대구광역시 달서구 본동
1,0,0,1,1,0,1,3,0,3,1,0,0,0,0,0,1,1,0,하차,583,2021-01-01,남부교육지원청건너,7041016000,13,대구광역시 달서구 본동
0,2,3,0,1,5,0,1,2,4,2,0,6,6,2,3,9,1,1,승차,5224,2021-01-01,남부교육지원청앞,7041016100,48,대구광역시 달서구 본동
0,1,0,0,0,2,0,0,4,1,0,1,1,1,0,1,1,1,1,하차,5224,2021-01-01,남부교육지원청앞,7041016100,15,대구광역시 달서구 본동
0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,승차,2293,2021-01-01,남부도서관앞,7051005100,4,대구광역시 남구 대명9동
0,0,1,0,2,1,1,0,0,1,2,3,0,0,1,0,0,0,0,하차,2293,2021-01-01,남부도서관앞,7051005100,12,대구광역시 남구 대명9동
1,0,0,1,3,0,2,2,1,0,1,0,1,0,0,0,0,0,0,승차,567,2021-01-01,남부자동차종합시장건너,7041011800,12,대구광역시 달서구 월성2동
0,0,0,2,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,하차,567,2021-01-01,남부자동차종합시장건너,7041011800,8,대구광역시 달서구 월성2동
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,승차,3151,2021-01-01,남부자동차종합시장앞,7041011700,4,대구광역시 달서구 장기동
0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,하차,3151,2021-01-01,남부자동차종합시장앞,7041011700,4,대구광역시 달서구 장기동
1,2,0,0,2,3,2,2,0,2,1,0,0,1,0,1,0,0,0,승차,744,2021-01-01,남부초등학교건너,7041048500,17,대구광역시 달서구 성당1동
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,744,2021-01-01,남부초등학교건너,7041048500,2,대구광역시 달서구 성당1동
0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,승차,745,2021-01-01,남부초등학교앞,7041048600,4,대구광역시 달서구 성당2동
0,1,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,하차,745,2021-01-01,남부초등학교앞,7041048600,7,대구광역시 달서구 성당2동
0,0,2,3,3,3,2,6,4,2,6,3,4,2,0,0,0,2,0,승차,9268,2021-01-01,남부초등학교앞2,7041026000,42,대구광역시 달서구 성당2동
0,0,0,1,0,0,0,0,1,1,0,1,0,2,1,0,1,1,0,하차,9268,2021-01-01,남부초등학교앞2,7041026000,9,대구광역시 달서구 성당2동
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,승차,1020,2021-01-01,남산2동주민센터건너,7001003400,1,대구광역시 중구 남산2동
0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,승차,1025,2021-01-01,남산2동주민센터앞,7001012500,5,대구광역시 중구 남산2동
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,승차,2018,2021-01-01,남산고등학교건너,7061027300,3,대구광역시 수성구 수성1가동
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,하차,2018,2021-01-01,남산고등학교건너,7061027300,1,대구광역시 수성구 수성1가동
0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,승차,2070,2021-01-01,남산고등학교앞,7061005900,3,대구광역시 수성구 수성1가동
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,하차,2070,2021-01-01,남산고등학교앞,7061005900,3,대구광역시 수성구 수성1가동
1,1,5,9,6,3,7,5,12,11,15,5,11,9,11,9,9,6,0,승차,5280,2021-01-01,남산역(프린스호텔건너),7001002800,135,대구광역시 중구 남산3동
1,1,0,0,1,5,2,1,5,1,4,3,3,2,5,5,5,2,0,하차,5280,2021-01-01,남산역(프린스호텔건너),7001002800,46,대구광역시 중구 남산3동
1,2,4,12,8,12,9,15,19,10,19,21,24,14,13,5,15,9,0,승차,416,2021-01-01,남산역건너(프린스호텔앞),7001002900,212,대구광역시 남구 대명3동
0,0,0,3,2,1,2,7,12,9,7,8,5,0,3,4,3,2,1,하차,416,2021-01-01,남산역건너(프린스호텔앞),7001002900,69,대구광역시 남구 대명3동
1,1,4,6,7,2,7,7,8,11,8,5,3,6,3,8,10,8,1,승차,1027,2021-01-01,남산초등학교건너,7001003300,106,대구광역시 중구 남산4동
0,0,0,0,2,2,0,2,1,2,2,2,1,1,1,0,0,4,0,하차,1027,2021-01-01,남산초등학교건너,7001003300,20,대구광역시 중구 남산4동
0,3,5,3,3,2,6,4,3,8,6,7,10,2,3,2,5,1,0,승차,5281,2021-01-01,남산초등학교앞,7001003200,73,대구광역시 중구 남산2동
1,2,2,1,7,3,2,7,5,4,4,5,6,4,2,0,2,0,0,하차,5281,2021-01-01,남산초등학교앞,7001003200,57,대구광역시 중구 남산2동
0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,승차,3998,2021-01-01,남해오네뜨2차앞,7111074300,6,대구광역시 달성군 유가면
