LOCPLC,NO,INDUTY,BSSH_NM,APNTDT
대구광역시 북구 매전로4길 6-11 (매천동),171,일반음식점,미향원,2023-11-02
"대구광역시 북구 매전로4길 6-17, 1층 (매천동)",172,일반음식점,대덕생막창,2023-10-31
대구광역시 북구 산격로 113-2 (산격동),173,일반음식점,소마구,2021-12-09
대구광역시 북구 산격로 32 (산격동),174,일반음식점,대도즉석회식당,2021-12-09
대구광역시 북구 산격로 62 (산격동),175,일반음식점,소문난막창집,2023-10-30
"대구광역시 북구 산격로 64, 1층 (산격동)",176,일반음식점,요거트아이스크림의정석경북대점,2023-10-31
"대구광역시 북구 산격로 70, 1층 (산격동)",177,일반음식점,백림,2023-11-01
"대구광역시 북구 산격로 75, 1층 (산격동)",178,일반음식점,청년치킨,2023-10-31
대구광역시 북구 산격로 77 (산격동),179,일반음식점,향어나라,2023-11-01
"대구광역시 북구 산격로 80, 1층 (산격동)",180,일반음식점,쪼닭경북대점,2023-11-01
대구광역시 북구 산격로 82 (산격동),181,일반음식점,오륙도,2023-10-30
대구광역시 북구 산격로 87 (산격동),182,일반음식점,대구통닭,2021-12-09
대구광역시 북구 산격로 89 (산격동),183,일반음식점,신먹거리촌조선퓨전포차,2023-11-02
대구광역시 북구 산격로 90 (산격동),184,일반음식점,가람식당,2021-12-09
"대구광역시 북구 산격로 91-1, 1층 (산격동)",185,일반음식점,원조 통큰김밥,2021-12-09
대구광역시 북구 산격로 98-1 (산격동),186,일반음식점,시골밥상,2021-12-09
대구광역시 북구 산격로6길 17 (산격동),187,일반음식점,청년다방 경북대점,2021-01-03
"대구광역시 북구 산격로6길 20, 2층 (산격동)",188,일반음식점,탕화쿵푸마라탕경북대점,2021-07-20
"대구광역시 북구 산격로6길 6, 1층 (산격동)",189,일반음식점,원두막,2021-01-03
대구광역시 북구 성북로 1 (침산동),190,일반음식점,교촌치킨침산점,2023-11-10
"대구광역시 북구 성북로 33-2, 1층 (침산동)",191,일반음식점,정통춘천닭갈비,2021-10-21
"대구광역시 북구 성북로 43, 1층 (침산동)",192,일반음식점,오늘의돼지,2023-05-03
"대구광역시 북구 성북로 45, 1층 (침산동)",193,일반음식점,임미숙닭다리숯불구이,2022-05-24
"대구광역시 북구 성북로5길 20-12, 1층 (침산동)",194,일반음식점,참한소,2021-10-22
"대구광역시 북구 성북로9길 12, 상가 301동 103호 (침산동, 침산쌍용예가2차)",195,휴게음식점,오늘도통통(침산점),2023-01-19
"대구광역시 북구 성북로9길 17, 1층 (침산동)",196,일반음식점,오봉산만두전골,2021-07-09
대구광역시 북구 신천동로 674 (대현동),197,일반음식점,소소한갈비,2023-12-04
"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 신관 2층 (산격동)",198,일반음식점,다담뜰한식뷔페 엑스코점,2020-12-23
대구광역시 북구 연암로25길 2 (산격동),199,일반음식점,왕돌곱도리&해물찜,2022-09-27
대구광역시 북구 영송로 14-1 (태전동),200,일반음식점,대학로식당,2022-11-01
대구광역시 북구 영송로 18 (태전동),201,일반음식점,양스김밥,2021-02-01
"대구광역시 북구 영송로 4, 112호 (태전동)",202,일반음식점,최고당돈가스대구보건대점,2022-11-01
대구광역시 북구 영송로 56-1 (태전동),203,일반음식점,관음막창,2021-01-25
대구광역시 북구 오봉로 13 (노원동2가),204,일반음식점,창미고깃집,2023-07-26
"대구광역시 북구 오봉로 142, 가동 (침산동)",205,일반음식점,행복미소,2021-09-24
대구광역시 북구 오봉로 27 (노원동2가),206,일반음식점,박대박식당,2023-01-10
대구광역시 북구 오봉로1길 51 (노원동2가),207,일반음식점,늘봄식당,2021-06-07
"대구광역시 북구 옥산로 102 (고성동3가,외1필지)",208,일반음식점,조선숯불,2022-02-09
"대구광역시 북구 옥산로 103, 201동 108,109호 (칠성동2가, 침산1차푸르지오)",209,일반음식점,더(The)홍,2021-09-06
"대구광역시 북구 옥산로 103 205동 108,109호 (칠성동2가, 침산1차푸르지오)",210,일반음식점,쪽쪽갈비,2021-09-06
"대구광역시 북구 옥산로 103, 205동 110호 (칠성동2가, 침산푸르지오)",211,일반음식점,금칠한 찡오찡오,2021-09-06
"대구광역시 북구 옥산로 103, 상가 205동 103호 (칠성동2가, 침산1차 푸르지오)",212,일반음식점,곤이,2021-09-06
"대구광역시 북구 옥산로 126-6, 1층 (고성동3가)",213,일반음식점,초술당 고성점,2022-12-16
"대구광역시 북구 옥산로 95, 3층 201호 (칠성동2가, 화인탑펠리스)",214,일반음식점,이조참치,2021-09-06
"대구광역시 북구 옥산로 95, 화인탑펠리스 1,2층 114호 (칠성동2가)",215,일반음식점,7272치킨,2021-09-06
"대구광역시 북구 옥산로 95-7, 102,103호 (칠성동2가, 조이프라자)",216,일반음식점,동궁찜닭(침산점),2021-09-06
"대구광역시 북구 옥산로 98, 1층 (고성동3가)",217,일반음식점,짬뽕신,2022-02-17
"대구광역시 북구 옥산로17길 14, 116호 (칠성동2가, 리치프라자)",218,일반음식점,오늘도 한우,2023-04-13
"대구광역시 북구 옥산로17길 14, 칠성동 리치프라자 1층 115호 (칠성동2가)",219,일반음식점,차돌풍대구침산점,2021-09-06
"대구광역시 북구 옥산로9길 25, 1층 (노원동1가)",220,일반음식점,감미정,2021-07-30
"대구광역시 북구 원대로 105 (노원동1가,,335)",221,일반음식점,대구짬뽕0304,2023-05-30
대구광역시 북구 원대로 113 (노원동1가),222,일반음식점,최정자백년식당,2023-11-03
대구광역시 북구 원대로 123 (노원동1가),223,일반음식점,원할머니보쌈대구침산점,2023-11-10
"대구광역시 북구 원대로 125 (노원동1가,삼일펠리체상가 102,103호)",224,일반음식점,장원갈치,2023-11-10
"대구광역시 북구 원대로 125 (노원동1가,삼일펠리체 상가1층 101호)",225,일반음식점,모려촌,2021-06-24
대구광역시 북구 원대로 62 (고성동3가),226,일반음식점,전주소반(침산점),2023-11-02
대구광역시 북구 원대로 91 (노원동1가),227,일반음식점,본죽대구북구청점,2020-09-17
대구광역시 북구 원대로23길 11 (노원동1가),228,일반음식점,등푸른생선집,2023-11-03
대구광역시 북구 원대로23길 2 (노원동1가),229,일반음식점,강구물회,2023-11-03
"대구광역시 북구 원대로25길 6, 1층 (노원동1가)",230,일반음식점,오름,2021-07-22
대구광역시 북구 유통단지로8길 13-24 (산격동),231,일반음식점,한티재,2020-08-01
"대구광역시 북구 유통단지로8길 21-13, 2층 (산격동)",232,일반음식점,수녹국수,2021-12-09
대구광역시 북구 유통단지로8길 21-19 (산격동),233,일반음식점,연화정,2020-12-30
대구광역시 북구 유통단지로8길 50 (산격동),234,일반음식점,정코다리산격점,2022-02-10
대구광역시 북구 유통단지로8길 60 (산격동),235,일반음식점,미성낙지아구,2023-04-12
"대구광역시 북구 유통단지로8길 70, 2층 (산격동)",236,일반음식점,(맥)참숯불식육식당,2020-05-22
"대구광역시 북구 유통단지로8길 72, 2층 (산격동)",237,일반음식점,무보까국밥,2020-11-09
"대구광역시 북구 유통단지로8길 78, 1층,2층 (산격동)",238,일반음식점,낙원가,2021-12-09
"대구광역시 북구 유통단지로8길 80, 2층 (산격동)",239,일반음식점,석연,2021-01-03
대구광역시 북구 유통단지로8길 80 (산격동),240,일반음식점,집밥아미정,2021-06-07
대구광역시 북구 이곡길 24-1 (서변동),241,일반음식점,호야암소한마리,2022-09-27
