food_name,period,ratio
소고기버섯죽,2024-11-01,38.13459
소고기버섯죽,2024-12-01,38.54781
울면,2024-01-01,91.61784
울면,2024-02-01,89.98515
울면,2024-03-01,85.65737
울면,2024-04-01,79.05632
울면,2024-05-01,85.59487
울면,2024-06-01,76.53308
울면,2024-07-01,78.23607
울면,2024-08-01,78.46262
울면,2024-09-01,87.40723
울면,2024-10-01,96.53152
울면,2024-11-01,95.83626
울면,2024-12-01,100.0
자장면,2024-01-01,87.40047
자장면,2024-02-01,100.0
자장면,2024-03-01,94.21646
자장면,2024-04-01,90.30536
자장면,2024-05-01,92.82526
자장면,2024-06-01,87.19048
자장면,2024-07-01,92.51903
자장면,2024-08-01,90.13037
자장면,2024-09-01,88.50293
자장면,2024-10-01,87.40047
자장면,2024-11-01,78.64205
자장면,2024-12-01,76.21839
쌀국수,2024-01-01,94.87859
쌀국수,2024-02-01,89.2427
쌀국수,2024-03-01,95.81946
쌀국수,2024-04-01,91.71064
쌀국수,2024-05-01,92.16588
쌀국수,2024-06-01,87.02654
쌀국수,2024-07-01,88.37042
쌀국수,2024-08-01,88.1467
쌀국수,2024-09-01,94.80297
쌀국수,2024-10-01,100.0
쌀국수,2024-11-01,88.46006
쌀국수,2024-12-01,92.03959
올갱이국수,2024-01-01,0.71949
올갱이국수,2024-02-01,0.33908
올갱이국수,2024-03-01,0.33129
올갱이국수,2024-04-01,0.4147
올갱이국수,2024-05-01,0.49499
올갱이국수,2024-06-01,0.52383
올갱이국수,2024-07-01,0.58541
올갱이국수,2024-08-01,0.65011
올갱이국수,2024-09-01,0.42561
올갱이국수,2024-10-01,0.37572
올갱이국수,2024-11-01,0.40846
올갱이국수,2024-12-01,0.25568
비빔국수,2024-01-01,58.1751
비빔국수,2024-02-01,58.2088
비빔국수,2024-03-01,65.19426
비빔국수,2024-04-01,69.67006
비빔국수,2024-05-01,86.22392
비빔국수,2024-06-01,100.0
비빔국수,2024-07-01,81.51517
비빔국수,2024-08-01,85.60273
비빔국수,2024-09-01,56.95616
비빔국수,2024-10-01,44.67153
비빔국수,2024-11-01,37.39744
비빔국수,2024-12-01,36.61363
비빔국수,2024-01-01,58.1751
비빔국수,2024-02-01,58.2088
비빔국수,2024-03-01,65.19426
비빔국수,2024-04-01,69.67006
비빔국수,2024-05-01,86.22392
비빔국수,2024-06-01,100.0
비빔국수,2024-07-01,81.51517
비빔국수,2024-08-01,85.60273
비빔국수,2024-09-01,56.95616
비빔국수,2024-10-01,44.67153
비빔국수,2024-11-01,37.39744
비빔국수,2024-12-01,36.61363
만두국,2024-01-01,90.17294
만두국,2024-02-01,66.1045
만두국,2024-03-01,52.83384
만두국,2024-04-01,45.12026
만두국,2024-05-01,47.3689
만두국,2024-06-01,44.14032
만두국,2024-07-01,47.05557
만두국,2024-08-01,48.31812
만두국,2024-09-01,52.83384
만두국,2024-10-01,66.95849
만두국,2024-11-01,93.79473
만두국,2024-12-01,100.0
분짜,2024-01-01,58.84455
분짜,2024-02-01,51.67985
분짜,2024-03-01,56.02186
분짜,2024-04-01,55.9951
분짜,2024-05-01,62.57309
분짜,2024-06-01,68.04074
분짜,2024-07-01,69.34411
분짜,2024-08-01,67.94136
분짜,2024-09-01,54.93636
분짜,2024-10-01,55.60906
분짜,2024-11-01,53.93112
분짜,2024-12-01,58.43366
약과,2024-01-01,100.0
약과,2024-02-01,96.7798
약과,2024-03-01,66.62462
약과,2024-04-01,57.11692
약과,2024-05-01,57.36536
약과,2024-06-01,43.8864
약과,2024-07-01,43.57107
약과,2024-08-01,56.21488
약과,2024-09-01,90.23047
약과,2024-10-01,46.85624
약과,2024-11-01,42.48939
약과,2024-12-01,43.05316
유과,2024-01-01,46.33642
유과,2024-02-01,66.06084
유과,2024-03-01,17.71585
유과,2024-04-01,15.06707
유과,2024-05-01,13.41589
유과,2024-06-01,12.45652
유과,2024-07-01,12.21954
유과,2024-08-01,18.3274
유과,2024-09-01,55.67977
유과,2024-10-01,16.74502
유과,2024-11-01,14.31792
유과,2024-12-01,16.20991
간자장,2024-01-01,0.16053
간자장,2024-02-01,0.23315
간자장,2024-03-01,0.16626
간자장,2024-04-01,0.17199
간자장,2024-05-01,0.19493
간자장,2024-06-01,0.1395
간자장,2024-07-01,0.18919
간자장,2024-08-01,0.08599
간자장,2024-09-01,0.16435
간자장,2024-10-01,0.18537
간자장,2024-11-01,0.10128
간자장,2024-12-01,0.13377
기스면,2024-01-01,83.04405
기스면,2024-02-01,81.40084
기스면,2024-03-01,85.27267
기스면,2024-04-01,71.9318
기스면,2024-05-01,80.91814
기스면,2024-06-01,73.74961
기스면,2024-07-01,73.98582
기스면,2024-08-01,74.76635
기스면,2024-09-01,77.72414
기스면,2024-10-01,95.62493
기스면,2024-11-01,88.54883
기스면,2024-12-01,100.0
떡만두국,2024-01-01,100.0
떡만두국,2024-02-01,51.17765
떡만두국,2024-03-01,25.25727
떡만두국,2024-04-01,21.57338
떡만두국,2024-05-01,22.40522
떡만두국,2024-06-01,19.52228
떡만두국,2024-07-01,18.99702
떡만두국,2024-08-01,20.28282
떡만두국,2024-09-01,24.29708
떡만두국,2024-10-01,30.14854
떡만두국,2024-11-01,33.35472
떡만두국,2024-12-01,51.08734
페이스트리,2024-01-01,72.34873
페이스트리,2024-02-01,68.34743
페이스트리,2024-03-01,85.55627
페이스트리,2024-04-01,83.8972
페이스트리,2024-05-01,74.9512
페이스트리,2024-06-01,79.73324
페이스트리,2024-07-01,100.0
페이스트리,2024-08-01,86.01171
페이스트리,2024-09-01,78.65972
페이스트리,2024-10-01,72.57644
페이스트리,2024-11-01,70.65712
페이스트리,2024-12-01,78.85491
프레즐,2024-01-01,96.46627
프레즐,2024-02-01,95.72463
프레즐,2024-03-01,100.0
프레즐,2024-04-01,88.95384
프레즐,2024-05-01,87.07791
프레즐,2024-06-01,82.3401
프레즐,2024-07-01,83.56164
프레즐,2024-08-01,84.88788
프레즐,2024-09-01,78.11709
프레즐,2024-10-01,75.62167
프레즐,2024-11-01,75.97068
프레즐,2024-12-01,73.27458
핫도그,2024-01-01,30.72514
핫도그,2024-02-01,28.20799
핫도그,2024-03-01,30.89422
핫도그,2024-04-01,28.99617
핫도그,2024-05-01,28.73778
핫도그,2024-06-01,26.81892
핫도그,2024-07-01,29.36555
핫도그,2024-08-01,29.85979
핫도그,2024-09-01,25.49922
핫도그,2024-10-01,26.15994
핫도그,2024-11-01,23.33498
핫도그,2024-12-01,22.0647
햄버거,2024-01-01,88.33424
햄버거,2024-02-01,89.7025
햄버거,2024-03-01,90.99012
햄버거,2024-04-01,92.73469
햄버거,2024-05-01,96.39466
햄버거,2024-06-01,91.66991
햄버거,2024-07-01,95.49809
햄버거,2024-08-01,100.0
햄버거,2024-09-01,97.09093
햄버거,2024-10-01,94.71858
햄버거,2024-11-01,78.24224
햄버거,2024-12-01,79.66773
매작과,2024-01-01,32.3181
매작과,2024-02-01,41.51156
매작과,2024-03-01,22.2335
매작과,2024-04-01,19.77439
매작과,2024-05-01,21.41003
매작과,2024-06-01,17.22504
매작과,2024-07-01,16.06316
매작과,2024-08-01,20.83474
매작과,2024-09-01,40.48505
매작과,2024-10-01,20.71065
매작과,2024-11-01,18.72532
매작과,2024-12-01,18.42075
산자,2024-01-01,67.34348
산자,2024-02-01,100.0
산자,2024-03-01,28.77608
산자,2024-04-01,20.92498
산자,2024-05-01,19.34574
산자,2024-06-01,15.25098
산자,2024-07-01,14.83361
산자,2024-08-01,21.38747
산자,2024-09-01,59.66159
산자,2024-10-01,20.07896
산자,2024-11-01,19.30062
산자,2024-12-01,24.80541
다쿠아즈,2024-01-01,25.7525
다쿠아즈,2024-02-01,22.36149
다쿠아즈,2024-03-01,23.97618
다쿠아즈,2024-04-01,100.0
다쿠아즈,2024-05-01,23.99267
다쿠아즈,2024-06-01,19.64671
다쿠아즈,2024-07-01,18.22994
다쿠아즈,2024-08-01,18.13758
다쿠아즈,2024-09-01,17.82916
다쿠아즈,2024-10-01,19.16346
다쿠아즈,2024-11-01,19.64176
다쿠아즈,2024-12-01,24.90475
마카롱,2024-01-01,78.02114
마카롱,2024-02-01,82.90973
마카롱,2024-03-01,95.92947
마카롱,2024-04-01,70.75258
마카롱,2024-05-01,77.83642
마카롱,2024-06-01,57.23969
마카롱,2024-07-01,58.25237
마카롱,2024-08-01,53.4611
마카롱,2024-09-01,55.74211
마카롱,2024-10-01,62.58184
마카롱,2024-11-01,67.64691
마카롱,2024-12-01,61.04468
버터크림빵,2024-01-01,100.0
버터크림빵,2024-02-01,79.90074
버터크림빵,2024-03-01,92.55583
버터크림빵,2024-04-01,87.84119
버터크림빵,2024-05-01,79.40446
버터크림빵,2024-06-01,58.06451
버터크림빵,2024-07-01,77.66749
버터크림빵,2024-08-01,80.8933
버터크림빵,2024-09-01,60.5459
버터크림빵,2024-10-01,81.38957
버터크림빵,2024-11-01,68.23821
버터크림빵,2024-12-01,78.66004
소보로빵,2024-01-01,91.63336
소보로빵,2024-02-01,83.14185
소보로빵,2024-03-01,98.75124
소보로빵,2024-04-01,98.92607
소보로빵,2024-05-01,100.0
소보로빵,2024-06-01,89.26073
소보로빵,2024-07-01,92.08291
소보로빵,2024-08-01,87.98701
소보로빵,2024-09-01,85.83916
소보로빵,2024-10-01,96.75324
소보로빵,2024-11-01,83.21678
소보로빵,2024-12-01,85.08991
수수경단,2024-01-01,11.01742
수수경단,2024-02-01,8.51947
수수경단,2024-03-01,15.71761
수수경단,2024-04-01,10.15541
수수경단,2024-05-01,9.38778
수수경단,2024-06-01,8.28037
수수경단,2024-07-01,9.01025
수수경단,2024-08-01,8.59497
수수경단,2024-09-01,8.91587
수수경단,2024-10-01,9.21789
수수경단,2024-11-01,8.21116
수수경단,2024-12-01,8.93475
수수부꾸미,2024-01-01,74.2591
수수부꾸미,2024-02-01,67.53287
수수부꾸미,2024-03-01,67.72793
수수부꾸미,2024-04-01,53.43232
수수부꾸미,2024-05-01,59.14553
수수부꾸미,2024-06-01,57.29566
수수부꾸미,2024-07-01,51.60762
수수부꾸미,2024-08-01,56.90555
수수부꾸미,2024-09-01,59.78103
수수부꾸미,2024-10-01,66.66456
수수부꾸미,2024-11-01,60.18372
수수부꾸미,2024-12-01,67.62096
수수팥떡,2024-01-01,62.67539
수수팥떡,2024-02-01,49.55011
수수팥떡,2024-03-01,50.96583
수수팥떡,2024-04-01,43.90612
수수팥떡,2024-05-01,46.03284
수수팥떡,2024-06-01,40.8985
수수팥떡,2024-07-01,42.22613
수수팥떡,2024-08-01,44.7115
수수팥떡,2024-09-01,43.7614
수수팥떡,2024-10-01,42.89309
수수팥떡,2024-11-01,41.03064
수수팥떡,2024-12-01,49.83955
시루떡,2024-01-01,100.0
시루떡,2024-02-01,98.93034
시루떡,2024-03-01,86.61045
시루떡,2024-04-01,76.69414
시루떡,2024-05-01,78.36154
시루떡,2024-06-01,66.40659
시루떡,2024-07-01,68.27534
시루떡,2024-08-01,71.12565
시루떡,2024-09-01,85.08148
시루떡,2024-10-01,75.99572
시루떡,2024-11-01,81.18668
시루떡,2024-12-01,87.4473
쑥떡,2024-01-01,29.21727
쑥떡,2024-02-01,32.48362
쑥떡,2024-03-01,66.72143
쑥떡,2024-04-01,100.0
쑥떡,2024-05-01,66.18185
쑥떡,2024-06-01,31.5821
쑥떡,2024-07-01,23.65493
쑥떡,2024-08-01,21.69645
쑥떡,2024-09-01,25.13822
쑥떡,2024-10-01,22.95769
쑥떡,2024-11-01,22.78894
쑥떡,2024-12-01,22.89108
약식,2024-01-01,16.79582
약식,2024-02-01,19.77795
약식,2024-03-01,13.12756
약식,2024-04-01,12.16387
약식,2024-05-01,11.59098
